nombre,importe,fecha,categoria
Pago Tarjeta Galicia ,"ARS 590,000.00",01/07/2026,Finanzas y Deudas ,
Alquiler + expesas Julio ,"ARS 400,000.00",01/07/2026,Hogar,
Ahorro (2),"ARS 300,000.00",01/07/2026,Ahorros,
Terapia (2),"ARS 160,000.00",01/07/2026,Salud,
Tarjeta Naranja ,"ARS 120,000.00",01/07/2026,Finanzas y Deudas ,
Tenis ,"ARS 92,000.00",01/07/2026,Deporte,
Club Junio ,"ARS 80,000.00",01/07/2026,Deporte,
Tarjeta BNA ,"ARS 77,000.00",01/07/2026,Hogar,
Luz ,"ARS 60,000.00",01/07/2026,Servicios Públicos,
Ubers (2),"ARS 50,000.00",01/07/2026,Transporte,
Carne ,"ARS 45,000.00",01/07/2026,Alimentación,
Personal Flow INTERNET (4),"ARS 35,000.00",01/07/2026,Servicios Públicos ,
Entrada Gorillaz ,"ARS 30,000.00",01/07/2026,Entretenimiento y Salidas a Comer,
Gas ,"ARS 23,000.00",01/07/2026,Servicios Públicos ,
Tuenti Junio ,"ARS 17,000.00",01/07/2026,Servicios Públicos ,
Youtube FP ,"ARS 1,500.00",01/07/2026,Suscripciones,
